,ref,publication,city,state,country,award,award_single_word,award_weight,general_category,general_category_single_word,specific_category,name1,title1,name2,title2,name3,title3,name4,title4,name5,title5,name6,title6,name7,title7,name8,title8,name9,title9,name10,title10
603,0110,National Post,Toronto,Ont.,Canada,Award of Excellence,AE,7,Breaking News Topics,BNT,Summer Olympics in Rio,David Yasvinski,Designer,Bev Wake,Sports Editor,Raina Toomey,Pes Production Editor,Rene McKnight,Pes Editor,Anne Marie Owens,Editor-in-Chief,Gayle Grin,Creative Director,,,,,,,,
604,0034,The Buffalo News,Buffalo,N.Y.,United States,Award of Excellence,AE,7,Editorial Cartoons,EDC,,Adam Zyglis,Editorial Cartoonist,,,,,,,,,,,,,,,,,,
605,0076,The Buffalo News,Buffalo,N.Y.,United States,Award of Excellence,AE,7,Editorial Cartoons,EDC,,Adam Zyglis,Editorial Cartoonist,,,,,,,,,,,,,,,,,,
606,0073,Los Angeles Times,Los Angeles,Calif.,United States,Award of Excellence,AE,7,Editorial Cartoons,EDC,,David Horsey,Editorial Cartoonist,,,,,,,,,,,,,,,,,,
607,0068,Minneapolis Star Tribune,Minneapolis,Minn.,United States,Award of Excellence,AE,7,Editorial Cartoons,EDC,,Steve Sack,Cartoonist,Scott Gillespie,Editorial Pages Editor,,,,,,,,,,,,,,,,
608,0066,National Post,Toronto,Ont.,Canada,Award of Excellence,AE,7,Editorial Cartoons,EDC,,Gary Clement,Cartoonist,Ania Medrek,Lead Designer,Jordan Timm,News Editor,Mick Higgins,NP2 Editor,Anne Marie Owens,Editor-in-Chief,Gayle Grin,Creative Director,,,,,,,,
609,0082,National Post,Toronto,Ont.,Canada,Award of Excellence,AE,7,Editorial Cartoons,EDC,,Gary Clement,Editorial Cartoonist,,,,,,,,,,,,,,,,,,
610,0732,Chicago Tribune,Chicago,Ill.,United States,Award of Excellence,AE,7,"News Design, Pages",NDP,"A-Section/Broadsheet 175,000 and over",MacQueen Brian,Editor/Designer,,,,,,,,,,,,,,,,,,
611,0673,The Globe and Mail,Toronto,Ont.,Canada,Award of Excellence,AE,7,"News Design, Pages",NDP,"A-Section/Broadsheet 175,000 and over",Matt Frehner,Head of Presentation,Jason Chiu,Deputy Head of Presentation,Matt French,Assistant Art Director,,,,,,,,,,,,,,
612,0671,Die Zeit,Hamburg,,Germany,Award of Excellence,AE,7,"News Design, Pages",NDP,"A-Section/Broadsheet 175,000 and over",Malin Schulz,Art Director,Haika Hinze,Art Director,Jan Kny,Deputy Art Director,Ellen Dietrich,Director/Photography,Staff,,,,,,,,,,,
613,0823,The Tennessean,Nashville,Tenn.,United States,Award of Excellence,AE,7,"News Design, Pages",NDP,"A-Section/Broadsheet 50,000-174,999",Bill Campling,Designer,Merry Eccles,Designer,Lindsey Turner,Creative Director,Michael Anastasi,Executive Editor,,,,,,,,,,,,
614,0832,Dagens Nyheter,Stockholm,,Sweden,Award of Excellence,AE,7,"News Design, Pages",NDP,"A-Section/Compact 175,000 and over",Gustav F. Andersson,Page Designer,Jorgen Jonasson,Editor,Pia Skagermark,Editor,,,,,,,,,,,,,,
615,0827,Metro So Paulo,So Paulo,,Brazil,Award of Excellence,AE,7,"News Design, Pages",NDP,"A-Section/Compact 50,000-174,999",Luiz Rivoiro,Editor-in-Chief,Vitor Iwasso,Executive Art Director,,,,,,,,,,,,,,,,
616,0831,Metro So Paulo,So Paulo,,Brazil,Award of Excellence,AE,7,"News Design, Pages",NDP,"A-Section/Compact 50,000-174,999",Luiz Rivoiro,Editor-in-Chief,Vitor Iwasso,Executive Art Director,,,,,,,,,,,,,,,,
617,0828,Reporte Indigo,Mexico City, ,Mexico,Award of Excellence,AE,7,"News Design, Pages",NDP,"A-Section/Compact 50,000-174,999",Antonio Navalon,Deputy Vice-President,Armando Estrop,Editorial Director,Cesar Cepeda,Information Director,Adrian Nandayapa,Design & Art Director,Francisco Lagos,Illustrator,,,,,,,,,,
618,0768,The Washington Post,Washington,D.C.,United States,Award of Excellence,AE,7,"News Design, Pages",NDP,"Business/Broadsheet 175,000 and over",Robert Davis,Designer,Ben Wiseman,Illustrator,Brian Gross,Deputy Design Director,Greg Manifold,Design Director,,,,,,,,,,,,
619,0628,Times of Oman,Muscat,,Oman,Award of Excellence,AE,7,"News Design, Pages",NDP,"Business/Broadsheet 49,999 and under",Ahmed Essa Al Zedjali,CEO,Adonis Durado,Chief Creative Officer,Scott Armstrong,Chief Executive Editor,Antonio Ismael Sandiego,Designer,A.E. James,Business Editor,,,,,,,,,,
620,0631,Times of Oman,Muscat,,Oman,Award of Excellence,AE,7,"News Design, Pages",NDP,"Business/Broadsheet 49,999 and under",Ahmed Essa Al Zedjali,CEO,Adonis Durado,Chief Creative Officer,Mohammad Sheath Hanief,Designer,,,,,,,,,,,,,,
621,0776,The Boston Globe,Boston,Mass.,United States,Award of Excellence,AE,7,"News Design, Pages",NDP,"Cover Story/Broadsheet 175,000 and over",Omar Vega,"Assistant Design Director, News",Lloyd Young,Picture Editor,Mark Morrow,Senior Deputy Managing Editor,William Green,Director of Photography,,,,,,,,,,,,
622,0741,Dagens Nyheter,Stockholm,,Sweden,Award of Excellence,AE,7,"News Design, Pages",NDP,"Cover Story/Broadsheet 175,000 and over",Jrgen Jonasson,Editor,Mathias Jonsson,Page Designer,Erik Ohlsson,Reporter,,,,,,,,,,,,,,
623,1132,La Nacin,Vicente Lopez,,Argentina,Award of Excellence,AE,7,"News Design, Pages",NDP,"Cover Story/Broadsheet 175,000 and over",Ana Gueller,Art Director,Fernando Gutierrez,Photo Editor in Chief,Maria Rodriguez Alcobendas,Design Editor,Andrea Platon,Design Editor,Maria Helena Garcia,Design Editor,Silvina Nicastro,Design Editor,Marina Vagliente,Design Editor,Daniel Ravaschieri,Designer,Andres Perez,Designer,Jorge Portaz,Graphic Editor
624,0586,The New York Times,New York,N.Y.,United States,Award of Excellence,AE,7,"News Design, Pages",NDP,"Cover Story/Broadsheet 175,000 and over",Wayne Kamidoi,Designer,Fred Bierman,Art Director,Alicia DeSantis,Graphic Editor,Anjali Singhvi,Graphics Editor,Laura ONeill,Picture Editor,Kevin Flynn,Section Editor,,,,,,,,
625,0594,The New York Times,New York,N.Y.,United States,Award of Excellence,AE,7,"News Design, Pages",NDP,"Cover Story/Broadsheet 175,000 and over",Wayne Kamidoi,Designer,Fred Bierman,Designer,Tom Jolly,Section Editor,Elena Gustines,Staff Editor,,,,,,,,,,,,
626,0731,The New York Times,New York,N.Y.,United States,Award of Excellence,AE,7,"News Design, Pages",NDP,"Cover Story/Broadsheet 175,000 and over",Fred Bierman,Designer,Beth Flynn,Picture Editor,Rebecca Corbett,Editor,,,,,,,,,,,,,,
627,0728,The Plain Dealer,Cleveland,Ohio,United States,Award of Excellence,AE,7,"News Design, Pages",NDP,"Cover Story/Broadsheet 175,000 and over",Jane Mitchell,Lead Features Designer,Josh Crutchmer,A.M.E.,Daryl Kannberg,Publications Director,Lisa DeJong,Photographer,Lynn Ischay,Photo Director,,,,,,,,,,
628,0518,The Washington Post,Washington,D.C.,United States,Award of Excellence,AE,7,"News Design, Pages",NDP,"Cover Story/Broadsheet 175,000 and over",Madia Brown,Art Director,Andrew Burton,Photographer,Kelly Johnson,Editor,Thomas Simonetti,Photo Editor,Greg Manifold,Design Director,,,,,,,,,,
629,0843,Die Zeit,Hamburg,,Germany,Award of Excellence,AE,7,"News Design, Pages",NDP,"Cover Story/Broadsheet 175,000 and over",Malin Schulz,Art Director,Haika Hinze,Art Director,Jan Kny,Deputy Art Director,Ellen Dietrich,Director/Photography,Staff,,,,,,,,,,,
630,1130,Die Zeit,Hamburg,,Germany,Award of Excellence,AE,7,"News Design, Pages",NDP,"Cover Story/Broadsheet 175,000 and over",Malin Schulz,Art Director,Haika Hinze,Art Director,Jan Kny,Deputy Art Director,Ellen Dietrich,Director/Photography,Staff,,,,,,,,,,,
631,0379,Zhejiang Daily,Hangzhou, ,China,Award of Excellence,AE,7,"News Design, Pages",NDP,"Cover Story/Broadsheet 175,000 and over",Bo Jin,Director of Multimedia Center,Wei Dong Tan,Director of Chief Editors,Xiong Wei Wu,Graphic Designer,,,,,,,,,,,,,,
632,0590,The New York Times,New York,N.Y.,United States,Award of Excellence,AE,7,"News Design, Pages",NDP,"Cover Story/Broadsheet 175,000 and over",Wayne Kamidoi,Designer,Uriel Sinai,Photographer,Jeffrey Furticella,Picture Editor,Becky Lebowitz Hanger,Picture Editor,,,,,,,,,,,,
633,0582,The Plain Dealer,Cleveland,Ohio,United States,Award of Excellence,AE,7,"News Design, Pages",NDP,"Cover Story/Broadsheet 175,000 and over",Tony Lariccia,Designer,Andrea Levy,Artist,Josh Crutchmer,A.M.E,,,,,,,,,,,,,,
634,0612,The Washington Post,Washington,D.C.,United States,Award of Excellence,AE,7,"News Design, Pages",NDP,"Cover Story/Broadsheet 175,000 and over",Virginia Singarayar,Art Director,Brian Gross,Deputy Design Director,Matt Murphy,Illustrator,Suzette Moyer,Assistant Design Director,Greg Manifold,Design Director,Jonathan Newton,Photographer,Ray Saunders,Photo Editor,,,,,,
635,0579,National Post,Toronto,Ont.,Canada,Award of Excellence,AE,7,"News Design, Pages",NDP,"Cover Story/Broadsheet 50,000-174,999",Julie Oliver,Photographer,Julie Traves,Deputy Editor,Genevive Biloski,Features Design Director,Dustin Parkes,Arts & Culture Editor,Anne Marie Owens,Editor-in-Chief,Gayle Grin,Creative Director,,,,,,,,
636,0587,National Post,Toronto,Ont.,Canada,Award of Excellence,AE,7,"News Design, Pages",NDP,"Cover Story/Broadsheet 50,000-174,999",Gary Clement,Editorial Cartoonist,Mike Faille,Graphic Artist,Dean Tweed,Graphic Artist,Ania Medrek,Lead Designer,Jordan Timm,News Editor,Mick Higgins,NP2 Editor,Anne Marie Owens,Editor-in-Chief,Gayle Grin,Creative Director,,,,
637,0501,Bild am Sonntag,Berlin,,Germany,Award of Excellence,AE,7,"News Design, Pages",NDP,"Cover Story/Compact 175,000 and over",Saulo Santana,Art Director,Marion Horn,Chief Editor,Thomas Drechsler,Vice Chief Editor,,,,,,,,,,,,,,
638,0496,Dagens Nyheter,Stockholm,,Sweden,Award of Excellence,AE,7,"News Design, Pages",NDP,"Cover Story/Compact 175,000 and over",Claes Sjdin,Page Designer,Anders Hansson,Photographer,Anna-Lena Lauren,Reporter,Jorgen Johasson,Editor,Lisa Sjokvist,Editor,,,,,,,,,,
639,0498,Dagens Nyheter,Stockholm,,Sweden,Award of Excellence,AE,7,"News Design, Pages",NDP,"Cover Story/Compact 175,000 and over",Pia Skagermark,Editor,Axel Bjorklund,Editor,Claes Sjodin,Page Designer,Jorgen Jonasson,Editor,Michael Winiarski,Reporter,Annika Strom-Melin,Reporter,Ewa Stenberg,Reporter,Lotta Hardelin,Photographer,Paul Hansen,Photographer,Lisa Sjokvist,Editor
640,0504,Dagens Nyheter,Stockholm,,Sweden,Award of Excellence,AE,7,"News Design, Pages",NDP,"Cover Story/Compact 175,000 and over",Stefan Rothmaier,Infographics,Claes Sjodin,Page Designer,Pia Skagermark,Editor,Sara Rimpi,Page Designer,Staff,,,,,,,,,,,
641,0509,Dagens Nyheter,Stockholm,,Sweden,Award of Excellence,AE,7,"News Design, Pages",NDP,"Cover Story/Compact 175,000 and over",Beatrice Lundborg,Photographer,Anna-Lena Lauren,Reporter,Claes Sjodin,Page Designer,,,,,,,,,,,,,,
642,0525,Dagens Nyheter,Stockholm,,Sweden,Award of Excellence,AE,7,"News Design, Pages",NDP,"Cover Story/Compact 175,000 and over",Christian Ferrara,Page Designer,Claes Sjodin,Page Designer,Jorgen Jonasson,Editor,,,,,,,,,,,,,,
643,0666,Dagens Nyheter,Stockholm,,Sweden,Award of Excellence,AE,7,"News Design, Pages",NDP,"Cover Story/Compact 175,000 and over",Anders Hansson,Photographer,Paul Hansen,Photographer,Claes Sjodin,Page Designer,,,,,,,,,,,,,,
644,0609,Dagens Nyheter,Stockholm,,Sweden,Award of Excellence,AE,7,"News Design, Pages",NDP,"Cover Story/Compact 175,000 and over",Thomas Karisson,Photographer,Martin Fransson,Editor,,,,,,,,,,,,,,,,
645,0519,Politico Europe,Brussels, ,Belgium,Award of Excellence,AE,7,"News Design, Pages",NDP,"Cover Story/Compact 49,999 and under",Tim Ball,Creative Director,Eric Petersen,Illustrator,Mackenzie Knowles-Coursin,Photographer,Riccardo Pravettoni,Graphic Artist,Stephan Faris,Enterprise Editor,,,,,,,,,,
646,0522,Politico Europe,Brussels, ,Belgium,Award of Excellence,AE,7,"News Design, Pages",NDP,"Cover Story/Compact 49,999 and under",Tim Ball,Creative Director,David Doran,Illustrator,Brett Affrunti,Illustrator,Pop Chart Lab,Illustrator,Vasava,Illustrator,,,,,,,,,,
647,0737,Politico Europe,Brussels, ,Belgium,Award of Excellence,AE,7,"News Design, Pages",NDP,"Cover Story/Compact 49,999 and under",Tim Ball,Creative Director,Luke Waller,Illustrator,,,,,,,,,,,,,,,,
648,0738,Politico Europe,Brussels, ,Belgium,Award of Excellence,AE,7,"News Design, Pages",NDP,"Cover Story/Compact 49,999 and under",Tim Ball,Creative Director,Tara Palmeri,Reporter,Antonin Krattochvil,Photographer,Andras D. Hajdu,Photographer,Stephan Faris,Enterprise Editor,,,,,,,,,,
649,0527,La Razn de Mxico,D.F.,,Mexico,Award of Excellence,AE,7,"News Design, Pages",NDP,"Cover Story/Compact 49,999 and under",Ruben Corts Fernndez,Director General,Adrian Castillo de los Cobos,Subdirector General,Fernando Montoya Flores,Subdirector de Diseo,Carlos Mora,Diseador,Bertin Cova,Diseador,Daniel Martinez,Ilustrador 3D,Victor Nieto,Infografista,Francisco Lagos,Ilustrador,Adriana Gochez,Editor,,
650,0512,Washington Business Journal,Arlington,Va.,United States,Award of Excellence,AE,7,"News Design, Pages",NDP,"Cover Story/Compact 49,999 and under",Ian Lawson,Lead Designer,Greg Akers,Editor,Joanna Crangle,Publisher,Greg Cravens,Illustrator,,,,,,,,,,,,
651,0513,Washington Business Journal,Arlington,Va.,United States,Award of Excellence,AE,7,"News Design, Pages",NDP,"Cover Story/Compact 49,999 and under",Ian Lawson,Lead Designer,Greg Akers,Editor,Joanna Crangle,Publisher,,,,,,,,,,,,,,
652,0516,Washington Business Journal,Arlington,Va.,United States,Award of Excellence,AE,7,"News Design, Pages",NDP,"Cover Story/Compact 49,999 and under",Wendy Goldfarb,Editorial Designer,Joanna Sullivan,Editor,John Dinkel,Publisher,Jon Wile,"VP, Content",Kaitlin Newman,Photographer,,,,,,,,,,
653,0674,Minneapolis/St. Paul Business Journal,Charlotte,N.C.,United States,Award of Excellence,AE,7,"News Design, Pages",NDP,"Cover Story/Compact 49,999 and under",Ben Ramsden,Creative Director,Nancy Kuehn,Photographer,Kathy Robideau,Publisher,Dirk DeYoung,Editor,Jon Wile,"VP, Content",Rob  Schneider,Creative Director,,,,,,,,
654,1067,La Razn de Mxico,D.F.,,Mexico,Award of Excellence,AE,7,"News Design, Pages",NDP,"Cover Story/Compact 49,999 and under",Ruben Corts Fernndez,Director General,Adrian Castillo de los Cobos,Subdirector General,Fernando Montoya Flores,Subdirector de Diseo,Alfredo Peralta,Infografista,Francisco Lagos,Ilustrador,Fernando Montoya,Infografista,Ricardo Otero,Editor,,,,,,
655,0669,San Francisco Business Times,Charlotte,N.C.,United States,Award of Excellence,AE,7,"News Design, Pages",NDP,"Cover Story/Compact 50,000-174,999",Matt Petty,Creative Director,Mitch Green,Designer,Patrick Chu,Editor,Mary Huss,Publisher,,,,,,,,,,,,
656,0514,The Sunday,Las Vegas,Nev.,United States,Award of Excellence,AE,7,"News Design, Pages",NDP,"Cover Story/Compact 50,000-174,999",Elizabeth Brown,Associate Create Director,Jason Seiler,Illustrator,,,,,,,,,,,,,,,,
657,0462,Los Angeles Times,Los Angeles,Calif.,United States,Award of Excellence,AE,7,"News Design, Pages",NDP,"Inside page/Broadsheet 175,000 and over",Kelli Sullivan,Deputy Design Director,Michael Whitley,A.M.E.,Mary Cooney,Director of Photography,Barbara Davidson,Photographer,,,,,,,,,,,,
658,0263,The New York Times,New York,N.Y.,United States,Award of Excellence,AE,7,"News Design, Pages",NDP,"Inside page/Broadsheet 175,000 and over",Shannon Robertson,Art Director,Lorenzo Petrantoni,Illustrator,,,,,,,,,,,,,,,,
659,0441,The New York Times,New York,N.Y.,United States,Award of Excellence,AE,7,"News Design, Pages",NDP,"Inside page/Broadsheet 175,000 and over",Fred Bierman,Designer,,,,,,,,,,,,,,,,,,
660,0589,The New York Times,New York,N.Y.,United States,Award of Excellence,AE,7,"News Design, Pages",NDP,"Inside page/Broadsheet 175,000 and over",Wayne Kamidoi,Designer,David Furst,Picture Editor,,,,,,,,,,,,,,,,
661,0530,Die Zeit,Hamburg,,Germany,Award of Excellence,AE,7,"News Design, Pages",NDP,"Inside page/Broadsheet 175,000 and over",Malin Schulz,Art Director,Haika Hinze,Art Director,Jan Kny,Deputy Art Director,Ellen Dietrich,Director/Photography,Staff,,,,,,,,,,,
662,0690,Welt am Sonntag,Berlin,,Germany,Award of Excellence,AE,7,"News Design, Pages",NDP,"Inside page/Compact 175,000 and over",Stefan Aust,Editor-in-Chief,Beat Balzli,Deputy Editor-in-Chief,Peter Schelling,Senior Editor,Anika Griebe,Head of Design,Julia Rechenberg,Page Designer,Yvonne Budig,Photo Editor,,,,,,,,
663,0866,Omaha World-Herald,Omaha,Neb.,United States,Award of Excellence,AE,7,"News Design, Pages",NDP,"Inside page/Compact 49,999 and under",Tim Parks,Deputy Presentation & Planning Editor,Jonathan Alpeyrie,Photographer,Esther King,Editorial Assistant,,,,,,,,,,,,,,
664,0623,Politico Europe,Brussels, ,Belgium,Award of Excellence,AE,7,"News Design, Pages",NDP,"Inside page/Compact 49,999 and under",Tim Ball,Creative Director,Emanuele Amighetti,Photographer,,,,,,,,,,,,,,,,
665,0736,Politico Europe,Brussels, ,Belgium,Award of Excellence,AE,7,"News Design, Pages",NDP,"Inside page/Compact 49,999 and under",Tim Ball,Creative Director,Mark Peterson,Photographer,,,,,,,,,,,,,,,,
666,1118,(Lisbon) Expresso,Pao de Arcos, ,Portugal,Award of Excellence,AE,7,"News Design, Pages",NDP,"Inside page/Compact 50,000-174,999",Marco Grieco,Art Director,Luis Miguel Ribiero,Designer,Goncalo Viana,Illustrator,,,,,,,,,,,,,,
667,0765,La Nacin,Vicente Lopez,,Argentina,Award of Excellence,AE,7,"News Design, Pages",NDP,"Local/Broadsheet 50,000-174,999",Ana Gueller,Art Director,Fernando Gutierrez,Photo Editor in Chief,Maria Rodriguez Alcobendas,Design Editor,Silvina Nicastro,Design Editor,Marina Vagliente,Design Editor,Daniel Ravaschieri,Designer,Andres Perez,Designer,Carolina Valls,Designer,Jorge Portaz,Illustrator,,
668,0635,Chicago Tribune,Chicago,Ill.,United States,Award of Excellence,AE,7,"News Design, Pages",NDP,"Sports/Broadsheet 175,000 and over",Dan Mann,Editor/Designer,,,,,,,,,,,,,,,,,,
669,0403,Minneapolis Star Tribune,Minneapolis,Minn.,United States,Award of Excellence,AE,7,"News Design, Pages",NDP,"Sports/Broadsheet 175,000 and over",Jay St. Pierre,Lead Sports Designer,Josh Penrod,Presentation Director,Derek Simmons,A.M.E./Visuals,,,,,,,,,,,,,,
670,0243,The Plain Dealer,Cleveland,Ohio,United States,Award of Excellence,AE,7,"News Design, Pages",NDP,"Sports/Broadsheet 175,000 and over",Margaret Riedel,Lead Spports Designer,Ted Crow,Artist,Skip Hall,Copy Editor,Josh Crutchmer,A.M.E,,,,,,,,,,,,
671,0448,Los Angeles Times,Los Angeles,Calif.,United States,Award of Excellence,AE,7,"News Design, Pages",NDP,"Sports/Broadsheet 175,000 and over",Michael Whitley,A.M.E.,George Wilhelm,Photo Editor,,,,,,,,,,,,,,,,
672,0442,The New York Times,New York,N.Y.,United States,Award of Excellence,AE,7,"News Design, Pages",NDP,"Sports/Broadsheet 175,000 and over",Fred Bierman,Designer,Atilla Futaki,Illustrator,,,,,,,,,,,,,,,,
673,0445,The New York Times,New York,N.Y.,United States,Award of Excellence,AE,7,"News Design, Pages",NDP,"Sports/Broadsheet 175,000 and over",Andrea Zagata,Art Director,Wayne Kamidoi,Art Director,Jeffrey Furticella,Picture Editor,Naila Meyers,Section Editor,,,,,,,,,,,,
674,0461,The Washington Post,Washington,D.C.,United States,Award of Excellence,AE,7,"News Design, Pages",NDP,"Sports/Broadsheet 175,000 and over",Courtney Kan,Designer,Brian Gross,Deputy Design Director,Greg Manifold,Design Director,Adam Kilgore,Reporter,Tracee Hamilton,Editor,çlvaro Valio,Illustrator,,,,,,,,
675,0472,The Washington Post,Washington,D.C.,United States,Award of Excellence,AE,7,"News Design, Pages",NDP,"Sports/Broadsheet 175,000 and over",Virginia Singarayar,Art Director,Brian Gross,Deputy Design Director,Bill OÕLelary,Photographer,Ray Saunders,Photo Editor,Greg Manifold,Design Director,Matt Brooks,High School Sports Editor,Dillon Mullan,High School Reporter,,,,,,
676,0438,The National,Abu Dhabi,,United arab emirates,Award of Excellence,AE,7,"News Design, Pages",NDP,"Sports/Broadsheet 50,000-174,999",Nick Donaldson,Creative Director,,,,,,,,,,,,,,,,,,
677,0769,Politiken,Copenhagen,,Denmark,Award of Excellence,AE,7,"News Design, Pages",NDP,"Sports/Broadsheet 50,000-174,999",S¿ren Nyeland,Design Editor,Christian Jensen,Editor-in-Chief,S¿ren-Mikael Hensen,Sports Editor,Philip Ytournel,Cartoonist,,,,,,,,,,,,
678,0653,South China Morning Post,Hong Kong,,China,Award of Excellence,AE,7,"News Design, Pages",NDP,"Sports/Broadsheet 50,000-174,999",Alberto Lucas Lopez,Graphics Director,,,,,,,,,,,,,,,,,,
679,0376,El Telgrafo,Guayaquil, ,Ecuador,Award of Excellence,AE,7,"News Design, Pages",NDP,"Sports/Compact 49,999 and under",Manuel Cabrera Patio,Infographic Artist,,,,,,,,,,,,,,,,,,
680,0792,National Post,Toronto,Ont.,Canada,Award of Excellence,AE,7,"News Design, Sections",NDS,"A-Section 175,000 and over",Mike Faille,Graphic Artist,Dean Tweed,Graphic Artist,Ania Medrek,Lead Designer,Jordan Timm,News Editor,Mick Higgins,NP2 Editor,Anne Marie Owens,Editor-in-Chief,Gayle Grin,Creative Director,,,,,,
681,0785,Politiken,Copenhagen,,Denmark,Award of Excellence,AE,7,"News Design, Sections",NDS,"A-Section 50,000-174,999",Staff,,,,,,,,,,,,,,,,,,,
682,0916,National Post,Toronto,Ont.,Canada,Award of Excellence,AE,7,"News Design, Sections",NDS,"Business 50,000-174,999",Gigi Suhanic,Features Design Director,Nicole MacAdam,Features Editor,Kevin Libin,Features Editor,Anne Marie Owens,Editor-in-Chief,Gayle Grin,Creative Director,,,,,,,,,,
683,0795,Politiken,Copenhagen,,Denmark,Award of Excellence,AE,7,"News Design, Sections",NDS,"Other 50,000-174,999",Staff,,,,,,,,,,,,,,,,,,,
684,1054,The New York Times,New York,N.Y.,United States,Award of Excellence,AE,7,"News Design, Sections",NDS,"Sports 175,000 and over",Wayne Kamidoi,Designer,Lee Yarosh,Designer,Andrew Braford,Designer,Benjamin Hoffman,Designer,Andrea Zagata,Designer,Elena Gustines,Designer,Jeffrey Furticella,Picture Editor,Becky Lebowitz Hanger,Picture Editor,,,,
685,0786,La Nacin,Vicente Lopez,,Argentina,Award of Excellence,AE,7,"News Design, Sections",NDS,"Sports 50,000-174,999",Ana Gueller,Art Director,Alejandra Bliffeld,Design Editor,Sebastin Fest,Editor,Fernando Gutirrez,Photo Editor in Chief,Anibal Greco,Photo Editor,Pablo Cairo,Deputy Editor,Marcelo Lago,Designer,Pablo Loscri,Graphic Editor in Chief,Gabriel Podest,Graphic Artist,Pablo Vignone,Editor
686,0273,Los Angeles Times,Los Angeles,Calif.,United States,Award of Excellence,AE,7,Opinion ,OPI,"Single Page/Broadsheet 175,000 and over",Michael Whitley,A.M.E.,Peter Hoey,Illustrator,Maria Hoey,Illustrator,,,,,,,,,,,,,,
687,0087,The New York Times,New York,N.Y.,United States,Award of Excellence,AE,7,Opinion Design,OPD,"Sections/Broadsheet 175,000 and over",Alexandra Zsigmond,Art Director,Jeffrey Henson Scales,Photography Editor,,,,,,,,,,,,,,,,
688,0063,The Boston Globe,Boston,Mass.,United States,Award of Excellence,AE,7,Opinion Design,OPD,"Single Page/Broadsheet 175,000 and over",Heather Hopp-Bruce,Ideas Design supervisor/Writer,Katie Kingsbury,Ideas Editor,Alex Kingsbury,Deputy Ideas Editor,,,,,,,,,,,,,,
689,0060,The Dallas Morning News,Dallas,Texas,United States,Award of Excellence,AE,7,Opinion Design,OPD,"Single Page/Broadsheet 175,000 and over",Michael Hogue,Graphic Artist,,,,,,,,,,,,,,,,,,
690,0050,Los Angeles Times,Los Angeles,Calif.,United States,Award of Excellence,AE,7,Opinion Design,OPD,"Single Page/Broadsheet 175,000 and over",Michael Whitley,A.M.E.,David Horsey,Editorial Cartoonist,,,,,,,,,,,,,,,,
691,0013,The Washington Post,Washington,D.C.,United States,Award of Excellence,AE,7,Opinion Design,OPD,"Single Page/Broadsheet 175,000 and over",Chris Rukan,Art Director,Thomas Burden,Illustrator,Greg Manifold,Design Director,Brian Gross,Deputy Design Director,Suzette Moyer,Senior Designer,Adam Kushner,Outlook Editor,Marisa Bellack,Deputy Outlook Editor,Mike Madden,Deputy Outlook Editor,,,,
692,0079,The Boston Globe,Boston,Mass.,United States,Award of Excellence,AE,7,Opinion Design,OPD,"Single Page/Broadsheet 175,000 and over",Heather Hopp-Bruce,Ideas Design supervisor/Illustrator,Katie Kingsbury,Ideas Editor,Alex Kingsbury,Deputy Ideas Editor,Box Brown,Illustrator,,,,,,,,,,,,
693,0007,National Post,Toronto,Ont.,Canada,Award of Excellence,AE,7,Opinion Design,OPD,"Single Page/Broadsheet 50,000-174,999",Chloe Cushman,Illustrator,Genevive Biloski,Features Design Director,Matt Gurney,Comment Editor,Anne Marie Owens,Editor-in-Chief,Gayle Grin,Creative Director,,,,,,,,,,
694,0009,National Post,Toronto,Ont.,Canada,Award of Excellence,AE,7,Opinion Design,OPD,"Single Page/Broadsheet 50,000-174,999",Chloe Cushman,Illustrator,Genevive Biloski,Features Design Director,Matt Gurney,Comment Editor,Anne Marie Owens,Editor-in-Chief,Gayle Grin,Creative Director,,,,,,,,,,
695,0010,Politiken,Copenhagen,,Denmark,Award of Excellence,AE,7,Opinion Design,OPD,"Single Page/Broadsheet 50,000-174,999",S¿ren Nyeland,Design Editor,Philip Ytournel,Cartoonist,Mads Zacho,Opinion Editor,,,,,,,,,,,,,,
696,0001,Bild am Sonntag,Berlin,,Germany,Award of Excellence,AE,7,Opinion Design,OPD,"Single Page/Compact 175,000 and over",Saulo Santana,Art Director,Marion Horn,Chief Editor,Thomas Drechsler,Vice Chief Editor,,,,,,,,,,,,,,
697,0065,Bild am Sonntag,Berlin, ,Germany,Award of Excellence,AE,7,Opinion Design,OPD,"Single Page/Compact 175,000 and over",Saulo Santana,Art Director,Marion Horn,Chief Editor,Thomas Drechsler,Vice Chief Editor,,,,,,,,,,,,,,
698,0069,The Washington Post,Washington,D.C.,United States,Award of Excellence,AE,7,Opinion section,OPS,"Single Page/Broadsheet 175,000 and over",Chris Rukan,Art Director,Greg Manifold,Design Director,Brian Gross,Deputy Design Director,Suzette Moyer,Senior Designer,Emily Chow,Senior Designer,Adam Kushner,Outlook Editor,Marisa Bellack,Deputy Outlook Editor,Mike Madden,Deputy Outlook Editor,,,,
699,0175,The Guardian,London,,United kingdom,Award of Excellence,AE,7,Special News Topics,SNT,Editor's Choice: Features,Sarah Habershon,Art Director,Sara Rasmbottom,Art Director,,,,,,,,,,,,,,,,
